,severity,f1_mean,f1_std
0,0,0.761657725183233,0.0
1,10,0.700435613087754,0.013592750486684579
2,20,0.6796410448889705,0.013147481404237254
3,30,0.589887502531217,0.009494249267684161
4,40,0.51699476687965,0.011640476739444834
5,50,0.40794911327691646,0.022615155205366087
6,60,0.3290734275201899,0.009872651739555989
7,70,0.25058624936325347,0.012506050705727939
8,80,0.17161454671826562,0.004225494025183175
9,90,0.11200339180738732,0.008036185758547448
10,100,0.07163283150004189,0.003279920299944301
