,severity,f1_mean,f1_std
0,0,0.761657725183233,0.0
1,10,0.7153473150587231,0.0073010312652102465
2,20,0.6831369522029934,0.013158329703590628
3,30,0.6108133931141964,0.016748760267728018
4,40,0.5148442605031424,0.008881073185531305
5,50,0.42517927157119484,0.009281303221924471
6,60,0.356221158414708,0.011604275504431598
7,70,0.2704257196033985,0.005784982342970099
8,80,0.1874738349582289,0.012664596233019266
9,90,0.13501472777393442,0.005507270650915248
10,100,0.07328773720383505,0.00417775446665694
